"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"53",0.52,"m1",1,99.542736,37.530772,0,-1.742121,-9.407452,0,-1.742121,-9.407452,0
"54",0.53,"m1",1,99.524976,37.434871,0,-1.775948,-9.590121,0,-1.775948,-9.590121,0
"55",0.54,"m1",1,99.506878,37.337143,0,-1.809776,-9.77279,0,-1.809776,-9.77279,0
"56",0.55,"m1",1,99.488442,37.237589,0,-1.843603,-9.955459,0,-1.843603,-9.955459,0
"57",0.56,"m1",1,99.469668,37.136207,0,-1.877431,-10.138128,0,-1.877431,-10.138128,0
"58",0.57,"m1",1,99.450555,37.032999,0,-1.911259,-10.320797,0,-1.911259,-10.320797,0
"59",0.58,"m1",1,99.431105,36.927965,0,-1.945086,-10.503466,0,-1.945086,-10.503466,0
"60",0.59,"m1",1,99.411315,36.821103,0,-1.978914,-10.686134,0,-1.978914,-10.686134,0
"61",0.6,"m1",1,99.391188,36.712415,0,-2.012741,-10.868803,0,-2.012741,-10.868803,0
"62",0.61,"m1",1,99.370722,36.601901,0,-2.046569,-11.051472,0,-2.046569,-11.051472,0
"63",0.62,"m1",1,99.349918,36.489559,0,-2.080397,-11.234141,0,-2.080397,-11.234141,0
"64",0.63,"m1",1,99.328776,36.375391,0,-2.114224,-11.41681,0,-2.114224,-11.41681,0
"65",0.64,"m1",1,99.307296,36.259396,0,-2.148052,-11.599479,0,-2.148052,-11.599479,0
"66",0.65,"m1",1,99.285477,36.141575,0,-2.181879,-11.782148,0,-2.181879,-11.782148,0
"67",0.66,"m1",1,99.26332,36.021927,0,-2.215707,-11.964817,0,-2.215707,-11.964817,0
"68",0.67,"m1",1,99.240824,35.900452,0,-2.249534,-12.147486,0,-2.249534,-12.147486,0
"69",0.68,"m1",1,99.217991,35.77715,0,-2.283362,-12.330155,0,-2.283362,-12.330155,0
"70",0.69,"m1",1,99.194819,35.652022,0,-2.31719,-12.512824,0,-2.31719,-12.512824,0
"71",0.7,"m1",1,99.171309,35.525067,0,-2.351017,-12.695493,0,-2.351017,-12.695493,0
"72",0.71,"m1",1,99.14746,35.396285,0,-2.384845,-12.878162,0,-2.384845,-12.878162,0
"73",0.72,"m1",1,99.123274,35.265677,0,-2.418672,-13.060831,0,-2.418672,-13.060831,0
"74",0.73,"m1",1,99.098749,35.133242,0,-2.4525,-13.2435,0,-2.4525,-13.2435,0
"75",0.74,"m1",1,99.073885,34.99898,0,-2.486328,-13.426169,0,-2.486328,-13.426169,0
"76",0.75,"m1",1,99.048684,34.862892,0,-2.520155,-13.608838,0,-2.520155,-13.608838,0
"77",0.76,"m1",1,99.023144,34.724977,0,-2.553983,-13.791507,0,-2.553983,-13.791507,0
"78",0.77,"m1",1,98.997266,34.585235,0,-2.58781,-13.974176,0,-2.58781,-13.974176,0
"79",0.78,"m1",1,98.971049,34.443667,0,-2.621638,-14.156845,0,-2.621638,-14.156845,0
"80",0.79,"m1",1,98.944495,34.300272,0,-2.655466,-14.339514,0,-2.655466,-14.339514,0
"81",0.8,"m1",1,98.917602,34.15505,0,-2.689293,-14.522183,0,-2.689293,-14.522183,0
"82",0.81,"m1",1,98.890371,34.008001,0,-2.723121,-14.704852,0,-2.723121,-14.704852,0
"83",0.82,"m1",1,98.862801,33.859126,0,-2.756948,-14.887521,0,-2.756948,-14.887521,0
"84",0.83,"m1",1,98.834893,33.708424,0,-2.790776,-15.07019,0,-2.790776,-15.07019,0
"85",0.84,"m1",1,98.806647,33.555896,0,-2.824603,-15.252859,0,-2.824603,-15.252859,0
"86",0.85,"m1",1,98.778063,33.40154,0,-2.858431,-15.435528,0,-2.858431,-15.435528,0
"87",0.86,"m1",1,98.74914,33.245358,0,-2.892259,-15.618197,0,-2.892259,-15.618197,0
"88",0.87,"m1",1,98.71988,33.08735,0,-2.926086,-15.800866,0,-2.926086,-15.800866,0
"89",0.88,"m1",1,98.69028,32.927514,0,-2.959914,-15.983534,0,-2.959914,-15.983534,0
