"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"52",0.51,"m1",1,0.379581,-0.925158,0,-3.758624,-1.632878,0,-3.758624,-1.632878,0
"53",0.52,"m1",1,0.341108,-0.940024,0,-3.847314,-1.486566,0,-3.847314,-1.486566,0
"54",0.53,"m1",1,0.30184,-0.953359,0,-3.926847,-1.333463,0,-3.926847,-1.333463,0
"55",0.54,"m1",1,0.261873,-0.965102,0,-3.996638,-1.174356,0,-3.996638,-1.174356,0
"56",0.55,"m1",1,0.221311,-0.975203,0,-4.056179,-1.01009,0,-4.056179,-1.01009,0
"57",0.56,"m1",1,0.180261,-0.983619,0,-4.105042,-0.841563,0,-4.105042,-0.841563,0
"58",0.57,"m1",1,0.138832,-0.990316,0,-4.142887,-0.669711,0,-4.142887,-0.669711,0
"59",0.58,"m1",1,0.097137,-0.995271,0,-4.169463,-0.495504,0,-4.169463,-0.495504,0
"60",0.59,"m1",1,0.055291,-0.99847,0,-4.184618,-0.319929,0,-4.184618,-0.319929,0
"61",0.6,"m1",1,0.013408,-0.99991,0,-4.188293,-0.143984,0,-4.188293,-0.143984,0
"62",0.61,"m1",1,-0.028397,-0.999597,0,-4.180526,0.031338,0,-4.180526,0.031338,0
"63",0.62,"m1",1,-0.070011,-0.997546,0,-4.161449,0.205054,0,-4.161449,0.205054,0
"64",0.63,"m1",1,-0.111324,-0.993784,0,-4.131287,0.376206,0,-4.131287,0.376206,0
"65",0.64,"m1",1,-0.152228,-0.988345,0,-4.090353,0.54387,0,-4.090353,0.54387,0
"66",0.65,"m1",1,-0.192618,-0.981274,0,-4.039043,0.707166,0,-4.039043,0.707166,0
"67",0.66,"m1",1,-0.232397,-0.972621,0,-3.977827,0.865264,0,-3.977827,0.865264,0
"68",0.67,"m1",1,-0.271469,-0.962447,0,-3.907247,1.017394,0,-3.907247,1.017394,0
"69",0.68,"m1",1,-0.309748,-0.950819,0,-3.827904,1.162851,0,-3.827904,1.162851,0
"70",0.69,"m1",1,-0.347153,-0.937809,0,-3.74045,1.301,0,-3.74045,1.301,0
"71",0.7,"m1",1,-0.383608,-0.923496,0,-3.645584,1.431281,0,-3.645584,1.431281,0
"72",0.71,"m1",1,-0.419049,-0.907964,0,-3.544034,1.553211,0,-3.544034,1.553211,0
"73",0.72,"m1",1,-0.453414,-0.8913,0,-3.436556,1.666386,0,-3.436556,1.666386,0
"74",0.73,"m1",1,-0.486653,-0.873595,0,-3.32392,1.770479,0,-3.32392,1.770479,0
"75",0.74,"m1",1,-0.518723,-0.854943,0,-3.206903,1.865243,0,-3.206903,1.865243,0
"76",0.75,"m1",1,-0.549585,-0.835438,0,-3.08628,1.950506,0,-3.08628,1.950506,0
"77",0.76,"m1",1,-0.579213,-0.815176,0,-2.962815,2.026169,0,-2.962815,2.026169,0
"78",0.77,"m1",1,-0.607586,-0.794254,0,-2.837256,2.092203,0,-2.837256,2.092203,0
"79",0.78,"m1",1,-0.634689,-0.772767,0,-2.710327,2.148645,0,-2.710327,2.148645,0
"80",0.79,"m1",1,-0.660517,-0.750812,0,-2.582724,2.195593,0,-2.582724,2.195593,0
"81",0.8,"m1",1,-0.685068,-0.72848,0,-2.455105,2.233198,0,-2.455105,2.233198,0
"82",0.81,"m1",1,-0.708348,-0.705863,0,-2.328093,2.261665,0,-2.328093,2.261665,0
"83",0.82,"m1",1,-0.730371,-0.68305,0,-2.202266,2.281239,0,-2.202266,2.281239,0
"84",0.83,"m1",1,-0.751153,-0.660128,0,-2.07816,2.292206,0,-2.07816,2.292206,0
"85",0.84,"m1",1,-0.770715,-0.63718,0,-1.956261,2.294884,0,-1.956261,2.294884,0
"86",0.85,"m1",1,-0.789085,-0.614283,0,-1.837011,2.289618,0,-1.837011,2.289618,0
"87",0.86,"m1",1,-0.806293,-0.591516,0,-1.720801,2.276772,0,-1.720801,2.276772,0
"88",0.87,"m1",1,-0.822373,-0.568948,0,-1.607974,2.25673,0,-1.607974,2.25673,0
"89",0.88,"m1",1,-0.837362,-0.54665,0,-1.498826,2.229884,0,-1.498826,2.229884,0
"90",0.89,"m1",1,-0.851298,-0.524683,0,-1.393607,2.196635,0,-1.393607,2.196635,0
"91",0.9,"m1",1,-0.864223,-0.503109,0,-1.292519,2.157383,0,-1.292519,2.157383,0
"92",0.91,"m1",1,-0.87618,-0.481984,0,-1.195723,2.11253,0,-1.195723,2.11253,0
"93",0.92,"m1",1,-0.887213,-0.461359,0,-1.103338,2.062472,0,-1.103338,2.062472,0
"94",0.93,"m1",1,-0.897368,-0.441283,0,-1.015443,2.007594,0,-1.015443,2.007594,0
"95",0.94,"m1",1,-0.906689,-0.421801,0,-0.93208,1.948275,0,-0.93208,1.948275,0
"96",0.95,"m1",1,-0.915221,-0.402952,0,-0.853258,1.884879,0,-0.853258,1.884879,0
"97",0.96,"m1",1,-0.923011,-0.384774,0,-0.778951,1.817755,0,-0.778951,1.817755,0
"98",0.97,"m1",1,-0.930102,-0.367302,0,-0.709107,1.747237,0,-0.709107,1.747237,0
"99",0.98,"m1",1,-0.936538,-0.350566,0,-0.643644,1.673641,0,-0.643644,1.673641,0
"100",0.99,"m1",1,-0.942363,-0.334593,0,-0.582458,1.597266,0,-0.582458,1.597266,0
"101",1,"m1",1,-0.947617,-0.319409,0,-0.525419,1.518392,0,-0.525419,1.518392,0
"102",1.01,"m1",1,-0.952341,-0.305036,0,-0.47238,1.43728,0,-0.47238,1.43728,0
"103",1.02,"m1",1,-0.956573,-0.291494,0,-0.423176,1.354174,0,-0.423176,1.354174,0
"104",1.03,"m1",1,-0.960349,-0.278801,0,-0.377624,1.269298,0,-0.377624,1.269298,0
"105",1.04,"m1",1,-0.963704,-0.266973,0,-0.335528,1.18286,0,-0.335528,1.18286,0
"106",1.05,"m1",1,-0.966671,-0.256022,0,-0.296681,1.095049,0,-0.296681,1.095049,0
"107",1.06,"m1",1,-0.969279,-0.245962,0,-0.260862,1.006038,0,-0.260862,1.006038,0
"108",1.07,"m1",1,-0.971558,-0.236802,0,-0.227842,0.915986,0,-0.227842,0.915986,0
"109",1.08,"m1",1,-0.973532,-0.228552,0,-0.197386,0.825036,0,-0.197386,0.825036,0
"110",1.09,"m1",1,-0.975224,-0.221219,0,-0.169249,0.733319,0,-0.169249,0.733319,0
"111",1.1,"m1",1,-0.976656,-0.214809,0,-0.143181,0.640952,0,-0.143181,0.640952,0
"112",1.11,"m1",1,-0.977845,-0.209329,0,-0.118929,0.548044,0,-0.118929,0.548044,0
"113",1.12,"m1",1,-0.978808,-0.204782,0,-0.096232,0.454692,0,-0.096232,0.454692,0
"114",1.13,"m1",1,-0.979556,-0.201172,0,-0.07483,0.360988,0,-0.07483,0.360988,0
"115",1.14,"m1",1,-0.980101,-0.198502,0,-0.054458,0.267014,0,-0.054458,0.267014,0
"116",1.15,"m1",1,-0.980449,-0.196773,0,-0.034849,0.172849,0,-0.034849,0.172849,0
"117",1.16,"m1",1,-0.980606,-0.195987,0,-0.015736,0.078569,0,-0.015736,0.078569,0
"118",1.17,"m1",1,-0.980575,-0.196145,0,0.00315,-0.015753,0,0.00315,-0.015753,0
"119",1.18,"m1",1,-0.980354,-0.197245,0,0.022077,-0.110045,0,0.022077,-0.110045,0
"120",1.19,"m1",1,-0.979941,-0.199288,0,0.041313,-0.204233,0,0.041313,-0.204233,0
"121",1.2,"m1",1,-0.97933,-0.20227,0,0.061125,-0.298241,0,0.061125,-0.298241,0
"122",1.21,"m1",1,-0.978512,-0.20619,0,0.08178,-0.391989,0,0.08178,-0.391989,0
"123",1.22,"m1",1,-0.977477,-0.211044,0,0.103539,-0.485391,0,0.103539,-0.485391,0
