"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"74",0.73,"m1",1,1,-2.613629,0,0,-7.11225,0,0,-7.11225,0
"75",0.74,"m1",1,1,-2.685733,0,0,-7.21035,0,0,-7.21035,0
"76",0.75,"m1",1,1,-2.758817,0,0,-7.30845,0,0,-7.30845,0
"77",0.76,"m1",1,1,-2.832883,0,0,-7.40655,0,0,-7.40655,0
"78",0.77,"m1",1,1,-2.907929,0,0,-7.50465,0,0,-7.50465,0
"79",0.78,"m1",1,1,-2.983957,0,0,-7.60275,0,0,-7.60275,0
"80",0.79,"m1",1,1,-3.060965,0,0,-7.70085,0,0,-7.70085,0
"81",0.8,"m1",1,1,-3.138955,0,0,-7.79895,0,0,-7.79895,0
"82",0.81,"m1",1,1,-3.217925,0,0,-7.89705,0,0,-7.89705,0
"83",0.82,"m1",1,1,-3.297877,0,0,-7.99515,0,0,-7.99515,0
"84",0.83,"m1",1,1,-3.378809,0,0,-8.09325,0,0,-8.09325,0
"85",0.84,"m1",1,1,-3.460723,0,0,-8.19135,0,0,-8.19135,0
"86",0.85,"m1",1,1,-3.543617,0,0,-8.28945,0,0,-8.28945,0
"87",0.86,"m1",1,1,-3.627493,0,0,-8.38755,0,0,-8.38755,0
"88",0.87,"m1",1,1,-3.712349,0,0,-8.48565,0,0,-8.48565,0
"89",0.88,"m1",1,1,-3.798187,0,0,-8.58375,0,0,-8.58375,0
"90",0.89,"m1",1,1,-3.885005,0,0,-8.68185,0,0,-8.68185,0
"91",0.9,"m1",1,1,-3.972805,0,0,-8.77995,0,0,-8.77995,0
"92",0.91,"m1",1,1,-4.061585,0,0,-8.87805,0,0,-8.87805,0
"93",0.92,"m1",1,1,-4.151347,0,0,-8.97615,0,0,-8.97615,0
"94",0.93,"m1",1,1,-4.242089,0,0,-9.07425,0,0,-9.07425,0
"95",0.94,"m1",1,1,-4.333813,0,0,-9.17235,0,0,-9.17235,0
"96",0.95,"m1",1,1,-4.426517,0,0,-9.27045,0,0,-9.27045,0
"97",0.96,"m1",1,1,-4.520203,0,0,-9.36855,0,0,-9.36855,0
"98",0.97,"m1",1,1,-4.614869,0,0,-9.46665,0,0,-9.46665,0
"99",0.98,"m1",1,1,-4.710517,0,0,-9.56475,0,0,-9.56475,0
"100",0.99,"m1",1,1,-4.807145,0,0,-9.66285,0,0,-9.66285,0
"101",1,"m1",1,1,-4.904755,0,0,-9.76095,0,0,-9.76095,0
"102",1.01,"m1",1,1,-5.003345,0,0,-9.85905,0,0,-9.85905,0
"103",1.02,"m1",1,1,-5.102917,0,0,-9.95715,0,0,-9.95715,0
"104",1.03,"m1",1,1,-5.203469,0,0,-10.05525,0,0,-10.05525,0
"105",1.04,"m1",1,1,-5.305003,0,0,-10.15335,0,0,-10.15335,0
"106",1.05,"m1",1,1,-5.407517,0,0,-10.25145,0,0,-10.25145,0
"107",1.06,"m1",1,1,-5.511013,0,0,-10.34955,0,0,-10.34955,0
"108",1.07,"m1",1,1,-5.615489,0,0,-10.44765,0,0,-10.44765,0
"109",1.08,"m1",1,1,-5.720947,0,0,-10.54575,0,0,-10.54575,0
"110",1.09,"m1",1,1,-5.827385,0,0,-10.64385,0,0,-10.64385,0
"111",1.1,"m1",1,1,-5.934805,0,0,-10.74195,0,0,-10.74195,0
"112",1.11,"m1",1,1,-6.043205,0,0,-10.84005,0,0,-10.84005,0
"113",1.12,"m1",1,1,-6.152587,0,0,-10.93815,0,0,-10.93815,0
"114",1.13,"m1",1,1,-6.262949,0,0,-11.03625,0,0,-11.03625,0
"115",1.14,"m1",1,1,-6.374293,0,0,-11.13435,0,0,-11.13435,0
"116",1.15,"m1",1,1,-6.486617,0,0,-11.23245,0,0,-11.23245,0
"117",1.16,"m1",1,1,-6.599923,0,0,-11.33055,0,0,-11.33055,0
"118",1.17,"m1",1,1,-6.714209,0,0,-11.42865,0,0,-11.42865,0
"119",1.18,"m1",1,1,-6.829477,0,0,-11.52675,0,0,-11.52675,0
"120",1.19,"m1",1,1,-6.945725,0,0,-11.62485,0,0,-11.62485,0
"121",1.2,"m1",1,1,-7.062955,0,0,-11.72295,0,0,-11.72295,0
"122",1.21,"m1",1,1,-7.181165,0,0,-11.82105,0,0,-11.82105,0
"123",1.22,"m1",1,1,-7.300357,0,0,-11.91915,0,0,-11.91915,0
"124",1.23,"m1",1,1,-7.420529,0,0,-12.01725,0,0,-12.01725,0
"125",1.24,"m1",1,1,-7.541683,0,0,-12.11535,0,0,-12.11535,0
"126",1.25,"m1",1,1,-7.663817,0,0,-12.21345,0,0,-12.21345,0
"127",1.26,"m1",1,1,-7.786933,0,0,-12.31155,0,0,-12.31155,0
"128",1.27,"m1",1,1,-7.911029,0,0,-12.40965,0,0,-12.40965,0
"129",1.28,"m1",1,1,-8.036107,0,0,-12.50775,0,0,-12.50775,0
"130",1.29,"m1",1,1,-8.162165,0,0,-12.60585,0,0,-12.60585,0
"131",1.3,"m1",1,1,-8.289205,0,0,-12.70395,0,0,-12.70395,0
"132",1.31,"m1",1,1,-8.417225,0,0,-12.80205,0,0,-12.80205,0
"133",1.32,"m1",1,1,-8.546227,0,0,-12.90015,0,0,-12.90015,0
"134",1.33,"m1",1,1,-8.676209,0,0,-12.99825,0,0,-12.99825,0
"135",1.34,"m1",1,1,-8.807173,0,0,-13.09635,0,0,-13.09635,0
"136",1.35,"m1",1,1,-8.939117,0,0,-13.19445,0,0,-13.19445,0
"137",1.36,"m1",1,1,-9.072043,0,0,-13.29255,0,0,-13.29255,0
"138",1.37,"m1",1,1,-9.205949,0,0,-13.39065,0,0,-13.39065,0
"139",1.38,"m1",1,1,-9.340837,0,0,-13.48875,0,0,-13.48875,0
"140",1.39,"m1",1,1,-9.476705,0,0,-13.58685,0,0,-13.58685,0
"141",1.4,"m1",1,1,-9.613555,0,0,-13.68495,0,0,-13.68495,0
"142",1.41,"m1",1,1,-9.751385,0,0,-13.78305,0,0,-13.78305,0
"143",1.42,"m1",1,1,-9.890197,0,0,-13.88115,0,0,-13.88115,0
"144",1.43,"m1",1,1,-10.029989,0,0,-13.97925,0,0,-13.97925,0
"145",1.44,"m1",1,1,-10.170763,0,0,-14.07735,0,0,-14.07735,0
"146",1.45,"m1",1,1,-10.312517,0,0,-14.17545,0,0,-14.17545,0
"147",1.46,"m1",1,1,-10.455253,0,0,-14.27355,0,0,-14.27355,0
"148",1.47,"m1",1,1,-10.598969,0,0,-14.37165,0,0,-14.37165,0
"149",1.48,"m1",1,1,-10.743667,0,0,-14.46975,0,0,-14.46975,0
"150",1.49,"m1",1,1,-10.889345,0,0,-14.56785,0,0,-14.56785,0
"151",1.5,"m1",1,1,-11.036005,0,0,-14.66595,0,0,-14.66595,0
"152",1.51,"m1",1,1,-11.183645,0,0,-14.76405,0,0,-14.76405,0
"153",1.52,"m1",1,1,-11.332267,0,0,-14.86215,0,0,-14.86215,0
"154",1.53,"m1",1,1,-11.481869,0,0,-14.96025,0,0,-14.96025,0
"155",1.54,"m1",1,1,-11.632453,0,0,-15.05835,0,0,-15.05835,0
"156",1.55,"m1",1,1,-11.784017,0,0,-15.15645,0,0,-15.15645,0
"157",1.56,"m1",1,1,-11.936563,0,0,-15.25455,0,0,-15.25455,0
"158",1.57,"m1",1,1,-12.090089,0,0,-15.35265,0,0,-15.35265,0
"159",1.58,"m1",1,1,-12.244597,0,0,-15.45075,0,0,-15.45075,0
"160",1.59,"m1",1,1,-12.400085,0,0,-15.54885,0,0,-15.54885,0
"161",1.6,"m1",1,1,-12.556555,0,0,-15.64695,0,0,-15.64695,0
"162",1.61,"m1",1,1,-12.714005,0,0,-15.74505,0,0,-15.74505,0
