"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"52",0.17,"m1",1,0.990575,-0.136973,0,-0.205133,-1.575665,0,-0.205133,-1.575665,0
"53",0.17,"m2",0.5,1.991262,-0.069,0,-0.202988,-0.803857,0,-0.101494,-0.4019285,0
"54",0.17,"m3",1,2.689153,-0.136972,0,-0.250539,-1.575324,0,-0.250539,-1.575324,0
"55",0.18,"m1",1,0.988125,-0.153649,0,-0.244926,-1.667577,0,-0.244926,-1.667577,0
"56",0.18,"m2",0.5,1.988808,-0.077554,0,-0.245398,-0.855431,0,-0.122699,-0.4277155,0
"57",0.18,"m3",1,2.686126,-0.153642,0,-0.302704,-1.66707,0,-0.302704,-1.66707,0
"58",0.19,"m1",1,0.985231,-0.171228,0,-0.289414,-1.757945,0,-0.289414,-1.757945,0
"59",0.19,"m2",0.5,1.985877,-0.086631,0,-0.293062,-0.907683,0,-0.146531,-0.4538415,0
"60",0.19,"m3",1,2.682514,-0.171215,0,-0.361201,-1.757272,0,-0.361201,-1.757272,0
"61",0.2,"m1",1,0.981843,-0.189693,0,-0.338799,-1.846504,0,-0.338799,-1.846504,0
"62",0.2,"m2",0.5,1.982416,-0.096238,0,-0.346163,-0.960726,0,-0.1730815,-0.480363,0
"63",0.2,"m3",1,2.678252,-0.189672,0,-0.426178,-1.845702,0,-0.426178,-1.845702,0
"64",0.21,"m1",1,0.977911,-0.209023,0,-0.393266,-1.932962,0,-0.393266,-1.932962,0
"65",0.21,"m2",0.5,1.978367,-0.106385,0,-0.404845,-1.014682,0,-0.2024225,-0.507341,0
"66",0.21,"m3",1,2.673275,-0.208993,0,-0.49771,-1.932127,0,-0.49771,-1.932127,0
"67",0.22,"m1",1,0.973381,-0.229193,0,-0.452974,-2.017003,0,-0.452974,-2.017003,0
"68",0.22,"m2",0.5,1.973675,-0.117082,0,-0.469204,-1.069674,0,-0.234602,-0.534837,0
"69",0.22,"m3",1,2.667517,-0.229156,0,-0.575794,-2.016317,0,-0.575794,-2.016317,0
"70",0.23,"m1",1,0.9682,-0.250176,0,-0.518059,-2.098286,0,-0.518059,-2.098286,0
"71",0.23,"m2",0.5,1.968282,-0.12834,0,-0.539283,-1.125828,0,-0.2696415,-0.562914,0
"72",0.23,"m3",1,2.660913,-0.250137,0,-0.660345,-2.098047,0,-0.660345,-2.098047,0
"73",0.24,"m1",1,0.962314,-0.27194,0,-0.588629,-2.176443,0,-0.588629,-2.176443,0
"74",0.24,"m2",0.5,1.962132,-0.140173,0,-0.615069,-1.183266,0,-0.3075345,-0.591633,0
"75",0.24,"m3",1,2.653401,-0.271908,0,-0.751188,-2.177111,0,-0.751188,-2.177111,0
"76",0.25,"m1",1,0.955666,-0.294451,0,-0.66476,-2.251086,0,-0.66476,-2.251086,0
"77",0.25,"m2",0.5,1.955167,-0.152594,0,-0.696487,-1.242102,0,-0.3482435,-0.621051,0
"78",0.25,"m3",1,2.644921,-0.294441,0,-0.848054,-2.253325,0,-0.848054,-2.253325,0
"79",0.26,"m1",1,0.948202,-0.317669,0,-0.746493,-2.321804,0,-0.746493,-2.321804,0
"80",0.26,"m2",0.5,1.947333,-0.165618,0,-0.783395,-1.302443,0,-0.3916975,-0.6512215,0
"81",0.26,"m3",1,2.635415,-0.317707,0,-0.950587,-2.326538,0,-0.950587,-2.326538,0
"82",0.27,"m1",1,0.939863,-0.341551,0,-0.833831,-2.388165,0,-0.833831,-2.388165,0
"83",0.27,"m2",0.5,1.938577,-0.179262,0,-0.875584,-1.364377,0,-0.437792,-0.6821885,0
"84",0.27,"m3",1,2.624832,-0.341673,0,-1.058338,-2.396637,0,-1.058338,-2.396637,0
"85",0.28,"m1",1,0.930596,-0.366048,0,-0.926735,-2.449721,0,-0.926735,-2.449721,0
"86",0.28,"m2",0.5,1.928849,-0.193542,0,-0.972772,-1.427972,0,-0.486386,-0.713986,0
"87",0.28,"m3",1,2.613124,-0.366309,0,-1.170777,-2.463559,0,-1.170777,-2.463559,0
"88",0.29,"m1",1,0.920345,-0.391108,0,-1.025123,-2.50601,0,-1.025123,-2.50601,0
"89",0.29,"m2",0.5,1.918103,-0.208474,0,-1.074611,-1.493272,0,-0.5373055,-0.746636,0
"90",0.29,"m3",1,2.600251,-0.391581,0,-1.287296,-2.52729,0,-1.287296,-2.52729,0
"91",0.3,"m1",1,0.909056,-0.416674,0,-1.128863,-2.55656,0,-1.128863,-2.55656,0
"92",0.3,"m2",0.5,1.906296,-0.224077,0,-1.18068,-1.560291,0,-0.59034,-0.7801455,0
"93",0.3,"m3",1,2.586179,-0.41746,0,-1.407226,-2.587874,0,-1.407226,-2.587874,0
"94",0.31,"m1",1,0.896678,-0.442683,0,-1.237775,-2.600891,0,-1.237775,-2.600891,0
"95",0.31,"m2",0.5,1.893391,-0.240367,0,-1.290496,-1.62901,0,-0.645248,-0.814505,0
"96",0.31,"m3",1,2.57088,-0.443914,0,-1.52985,-2.645411,0,-1.52985,-2.645411,0
"97",0.32,"m1",1,0.883162,-0.469068,0,-1.351624,-2.638523,0,-1.351624,-2.638523,0
"98",0.32,"m2",0.5,1.879356,-0.257361,0,-1.403516,-1.699375,0,-0.701758,-0.8496875,0
"99",0.32,"m3",1,2.554336,-0.470915,0,-1.654415,-2.700061,0,-1.654415,-2.700061,0
"100",0.33,"m1",1,0.868461,-0.495758,0,-1.470122,-2.668979,0,-1.470122,-2.668979,0
"101",0.33,"m2",0.5,1.864165,-0.275074,0,-1.519144,-1.77129,0,-0.759572,-0.885645,0
"102",0.33,"m3",1,2.536534,-0.498435,0,-1.780155,-2.752035,0,-1.780155,-2.752035,0
"103",0.34,"m1",1,0.852532,-0.522676,0,-1.592924,-2.691791,0,-1.592924,-2.691791,0
"104",0.34,"m2",0.5,1.847797,-0.29352,0,-1.636744,-1.844625,0,-0.818372,-0.9223125,0
"105",0.34,"m3",1,2.517471,-0.526451,0,-1.906309,-2.801594,0,-1.906309,-2.801594,0
"106",0.35,"m1",1,0.835335,-0.549741,0,-1.719627,-2.706507,0,-1.719627,-2.706507,0
"107",0.35,"m2",0.5,1.830241,-0.312712,0,-1.755648,-1.91921,0,-0.877824,-0.959605,0
"108",0.35,"m3",1,2.49715,-0.554942,0,-2.032136,-2.849038,0,-2.032136,-2.849038,0
"109",0.36,"m1",1,0.816838,-0.576868,0,-1.849773,-2.712695,0,-1.849773,-2.712695,0
"110",0.36,"m2",0.5,1.811489,-0.332661,0,-1.875172,-1.99484,0,-0.937586,-0.99742,0
"111",0.36,"m3",1,2.475581,-0.583889,0,-2.156934,-2.894697,0,-2.156934,-2.894697,0
"112",0.37,"m1",1,0.797009,-0.603967,0,-1.982845,-2.709954,0,-1.982845,-2.709954,0
"113",0.37,"m2",0.5,1.791543,-0.353374,0,-1.994628,-2.07128,0,-0.997314,-1.03564,0
"114",0.37,"m3",1,2.45278,-0.613278,0,-2.280057,-2.938921,0,-2.280057,-2.938921,0
"115",0.38,"m1",1,0.775826,-0.630946,0,-2.118273,-2.697917,0,-2.118273,-2.697917,0
"116",0.38,"m2",0.5,1.770409,-0.374856,0,-2.113341,-2.148272,0,-1.0566705,-1.074136,0
"117",0.38,"m3",1,2.428771,-0.643098,0,-2.400925,-2.982066,0,-2.400925,-2.982066,0
"118",0.39,"m1",1,0.753272,-0.657709,0,-2.255431,-2.676259,0,-2.255431,-2.676259,0
"119",0.39,"m2",0.5,1.748103,-0.397112,0,-2.230668,-2.225539,0,-1.115334,-1.1127695,0
"120",0.39,"m3",1,2.40358,-0.673343,0,-2.51904,-3.024485,0,-2.51904,-3.024485,0
"121",0.4,"m1",1,0.729336,-0.684156,0,-2.393646,-2.644706,0,-2.393646,-2.644706,0
"122",0.4,"m2",0.5,1.724643,-0.42014,0,-2.346008,-2.302798,0,-1.173004,-1.151399,0
"123",0.4,"m3",1,2.377241,-0.704008,0,-2.633986,-3.066514,0,-2.633986,-3.066514,0
"124",0.41,"m1",1,0.704014,-0.710186,0,-2.532199,-2.603038,0,-2.532199,-2.603038,0
"125",0.41,"m2",0.5,1.700054,-0.443937,0,-2.458826,-2.379767,0,-1.229413,-1.1898835,0
"126",0.41,"m3",1,2.349786,-0.735093,0,-2.745442,-3.108462,0,-2.745442,-3.108462,0
"127",0.42,"m1",1,0.67731,-0.735697,0,-2.670331,-2.551098,0,-2.670331,-2.551098,0
"128",0.42,"m2",0.5,1.674368,-0.468499,0,-2.568661,-2.456174,0,-1.2843305,-1.228087,0
"129",0.42,"m3",1,2.321254,-0.766599,0,-2.853176,-3.150602,0,-2.853176,-3.150602,0
"130",0.43,"m1",1,0.649238,-0.760585,0,-2.807247,-2.4888,0,-2.807247,-2.4888,0
"131",0.43,"m2",0.5,1.647616,-0.493817,0,-2.675147,-2.531769,0,-1.3375735,-1.2658845,0
"132",0.43,"m3",1,2.291684,-0.798531,0,-2.957054,-3.193167,0,-2.957054,-3.193167,0
"133",0.44,"m1",1,0.619817,-0.784747,0,-2.942128,-2.416128,0,-2.942128,-2.416128,0
"134",0.44,"m2",0.5,1.619836,-0.51988,0,-2.778024,-2.606332,0,-1.389012,-1.303166,0
"135",0.44,"m3",1,2.261114,-0.830894,0,-3.057028,-3.236337,0,-3.057028,-3.236337,0
"136",0.45,"m1",1,0.589075,-0.808078,0,-3.074133,-2.333147,0,-3.074133,-2.333147,0
"137",0.45,"m2",0.5,1.591065,-0.546677,0,-2.877148,-2.679679,0,-1.438574,-1.3398395,0
"138",0.45,"m3",1,2.229582,-0.863697,0,-3.153143,-3.280242,0,-3.153143,-3.280242,0
"139",0.46,"m1",1,0.557051,-0.830478,0,-3.202413,-2.240002,0,-3.202413,-2.240002,0
"140",0.46,"m2",0.5,1.56134,-0.574194,0,-2.972502,-2.751667,0,-1.486251,-1.3758335,0
"141",0.46,"m3",1,2.197127,-0.896946,0,-3.245523,-3.324951,0,-3.245523,-3.324951,0
"142",0.47,"m1",1,0.52379,-0.851847,0,-3.326115,-2.136924,0,-3.326115,-2.136924,0
"143",0.47,"m2",0.5,1.530698,-0.602416,0,-3.064203,-2.822197,0,-1.5321015,-1.4110985,0
"144",0.47,"m3",1,2.163783,-0.930651,0,-3.334378,-3.370477,0,-3.334378,-3.370477,0
"145",0.48,"m1",1,0.489346,-0.87209,0,-3.444396,-2.024228,0,-3.444396,-2.024228,0
"146",0.48,"m2",0.5,1.499172,-0.631328,0,-3.15251,-2.891211,0,-1.576255,-1.4456055,0
"147",0.48,"m3",1,2.129583,-0.964819,0,-3.419989,-3.416771,0,-3.419989,-3.416771,0
"148",0.49,"m1",1,0.453782,-0.891113,0,-3.556432,-1.902317,0,-3.556432,-1.902317,0
"149",0.49,"m2",0.5,1.466794,-0.660915,0,-3.237822,-2.958693,0,-1.618911,-1.4793465,0
"150",0.49,"m3",1,2.094556,-0.999456,0,-3.502713,-3.463722,0,-3.502713,-3.463722,0
"151",0.5,"m1",1,0.417167,-0.90883,0,-3.661428,-1.771677,0,-3.661428,-1.771677,0
"152",0.5,"m2",0.5,1.433587,-0.691161,0,-3.320683,-3.024652,0,-1.6603415,-1.512326,0
"153",0.5,"m3",1,2.058726,-1.034567,0,-3.582977,-3.511157,0,-3.582977,-3.511157,0
"154",0.51,"m1",1,0.379581,-0.925158,0,-3.758624,-1.632878,0,-3.758624,-1.632878,0
"155",0.51,"m2",0.5,1.39957,-0.722052,0,-3.401774,-3.08912,0,-1.700887,-1.54456,0
"156",0.51,"m3",1,2.022114,-1.070156,0,-3.661272,-3.558836,0,-3.661272,-3.558836,0
"157",0.52,"m1",1,0.341108,-0.940024,0,-3.847314,-1.486566,0,-3.847314,-1.486566,0
"158",0.52,"m2",0.5,1.364751,-0.753574,0,-3.481917,-3.152128,0,-1.7409585,-1.576064,0
"159",0.52,"m3",1,1.984732,-1.10622,0,-3.738161,-3.606458,0,-3.738161,-3.606458,0
"160",0.53,"m1",1,0.30184,-0.953359,0,-3.926847,-1.333463,0,-3.926847,-1.333463,0
"161",0.53,"m2",0.5,1.32913,-0.785711,0,-3.562057,-3.213695,0,-1.7810285,-1.6068475,0
"162",0.53,"m3",1,1.946589,-1.142757,0,-3.814268,-3.653651,0,-3.814268,-3.653651,0
"163",0.54,"m1",1,0.261873,-0.965102,0,-3.996638,-1.174356,0,-3.996638,-1.174356,0
"164",0.54,"m2",0.5,1.292697,-0.818449,0,-3.643256,-3.2738,0,-1.821628,-1.6369,0
"165",0.54,"m3",1,1.907687,-1.179757,0,-3.890283,-3.699979,0,-3.890283,-3.699979,0
"166",0.55,"m1",1,0.221311,-0.975203,0,-4.056179,-1.01009,0,-4.056179,-1.01009,0
"167",0.55,"m2",0.5,1.255431,-0.851772,0,-3.726682,-3.332366,0,-1.863341,-1.666183,0
"168",0.55,"m3",1,1.868017,-1.217206,0,-3.966961,-3.744932,0,-3.966961,-3.744932,0
"169",0.56,"m1",1,0.180261,-0.983619,0,-4.105042,-0.841563,0,-4.105042,-0.841563,0
"170",0.56,"m2",0.5,1.217295,-0.885665,0,-3.813584,-3.389229,0,-1.906792,-1.6946145,0
"171",0.56,"m3",1,1.827566,-1.255085,0,-4.045123,-3.787934,0,-4.045123,-3.787934,0
"172",0.57,"m1",1,0.138832,-0.990316,0,-4.142887,-0.669711,0,-4.142887,-0.669711,0
"173",0.57,"m2",0.5,1.178242,-0.920106,0,-3.905277,-3.444114,0,-1.9526385,-1.722057,0
"174",0.57,"m3",1,1.786309,-1.293369,0,-4.125655,-3.828332,0,-4.125655,-3.828332,0
"175",0.58,"m1",1,0.097137,-0.995271,0,-4.169463,-0.495504,0,-4.169463,-0.495504,0
"176",0.58,"m2",0.5,1.138211,-0.955072,0,-4.003113,-3.496615,0,-2.0015565,-1.7483075,0
"177",0.58,"m3",1,1.744214,-1.332023,0,-4.209507,-3.865404,0,-4.209507,-3.865404,0
"178",0.59,"m1",1,0.055291,-0.99847,0,-4.184618,-0.319929,0,-4.184618,-0.319929,0
"179",0.59,"m2",0.5,1.097126,-0.990533,0,-4.108459,-3.546164,0,-2.0542295,-1.773082,0
"180",0.59,"m3",1,1.701237,-1.371006,0,-4.297695,-3.898356,0,-4.297695,-3.898356,0
"181",0.6,"m1",1,0.013408,-0.99991,0,-4.188293,-0.143984,0,-4.188293,-0.143984,0
"182",0.6,"m2",0.5,1.0549,-1.026454,0,-4.222657,-3.592017,0,-2.1113285,-1.7960085,0
"183",0.6,"m3",1,1.657324,-1.410269,0,-4.391295,-3.926324,0,-4.391295,-3.926324,0
"184",0.61,"m1",1,-0.028397,-0.999597,0,-4.180526,0.031338,0,-4.180526,0.031338,0
"185",0.61,"m2",0.5,1.01143,-1.062786,0,-4.346997,-3.633233,0,-2.1734985,-1.8166165,0
"186",0.61,"m3",1,1.61241,-1.449753,0,-4.491447,-3.948382,0,-4.491447,-3.948382,0
"187",0.62,"m1",1,-0.070011,-0.997546,0,-4.161449,0.205054,0,-4.161449,0.205054,0
"188",0.62,"m2",0.5,0.966603,-1.099473,0,-4.482671,-3.668665,0,-2.2413355,-1.8343325,0
"189",0.62,"m3",1,1.566416,-1.489389,0,-4.599342,-3.963546,0,-4.599342,-3.963546,0
"190",0.63,"m1",1,-0.111324,-0.993784,0,-4.131287,0.376206,0,-4.131287,0.376206,0
"191",0.63,"m2",0.5,0.920296,-1.136442,0,-4.63074,-3.696947,0,-2.31537,-1.8484735,0
"192",0.63,"m3",1,1.519254,-1.529097,0,-4.716219,-3.970788,0,-4.716219,-3.970788,0
"193",0.64,"m1",1,-0.152228,-0.988345,0,-4.090353,0.54387,0,-4.090353,0.54387,0
"194",0.64,"m2",0.5,0.872375,-1.173607,0,-4.792087,-3.716503,0,-2.3960435,-1.8582515,0
"195",0.64,"m3",1,1.470821,-1.568787,0,-4.843348,-3.969049,0,-4.843348,-3.969049,0
"196",0.65,"m1",1,-0.192618,-0.981274,0,-4.039043,0.707166,0,-4.039043,0.707166,0
"197",0.65,"m2",0.5,0.822701,-1.210863,0,-4.967374,-3.725545,0,-2.483687,-1.8627725,0
"198",0.65,"m3",1,1.421,-1.60836,0,-4.982017,-3.957262,0,-4.982017,-3.957262,0
"199",0.66,"m1",1,-0.232397,-0.972621,0,-3.977827,0.865264,0,-3.977827,0.865264,0
"200",0.66,"m2",0.5,0.771131,-1.248084,0,-5.157,-3.722098,0,-2.5785,-1.861049,0
"201",0.66,"m3",1,1.369665,-1.647703,0,-5.133506,-3.934373,0,-5.133506,-3.934373,0
"202",0.67,"m1",1,-0.271469,-0.962447,0,-3.907247,1.017394,0,-3.907247,1.017394,0
"203",0.67,"m2",0.5,0.71752,-1.285124,0,-5.361058,-3.704017,0,-2.680529,-1.8520085,0
"204",0.67,"m3",1,1.316675,-1.686697,0,-5.299055,-3.899374,0,-5.299055,-3.899374,0
"205",0.68,"m1",1,-0.309748,-0.950819,0,-3.827904,1.162851,0,-3.827904,1.162851,0
"206",0.68,"m2",0.5,0.661727,-1.321814,0,-5.579298,-3.669025,0,-2.789649,-1.8345125,0
"207",0.68,"m3",1,1.261877,-1.72521,0,-5.479824,-3.85133,0,-5.479824,-3.85133,0
"208",0.69,"m1",1,-0.347153,-0.937809,0,-3.74045,1.301,0,-3.74045,1.301,0
"209",0.69,"m2",0.5,0.603616,-1.357961,0,-5.811091,-3.61475,0,-2.9055455,-1.807375,0
"210",0.69,"m3",1,1.205108,-1.763105,0,-5.676852,-3.78942,0,-5.676852,-3.78942,0
"211",0.7,"m1",1,-0.383608,-0.923496,0,-3.645584,1.431281,0,-3.645584,1.431281,0
"212",0.7,"m2",0.5,0.543062,-1.393349,0,-6.055402,-3.538782,0,-3.027701,-1.769391,0
"213",0.7,"m3",1,1.146198,-1.800234,0,-5.890999,-3.712963,0,-5.890999,-3.712963,0
"214",0.71,"m1",1,-0.419049,-0.907964,0,-3.544034,1.553211,0,-3.544034,1.553211,0
"215",0.71,"m2",0.5,0.479955,-1.427737,0,-6.310766,-3.438723,0,-3.155383,-1.7193615,0
"216",0.71,"m3",1,1.084969,-1.836449,0,-6.122893,-3.621451,0,-6.122893,-3.621451,0
"217",0.72,"m1",1,-0.453414,-0.8913,0,-3.436556,1.666386,0,-3.436556,1.666386,0
"218",0.72,"m2",0.5,0.414202,-1.460859,0,-6.575281,-3.312257,0,-3.2876405,-1.6561285,0
"219",0.72,"m3",1,1.02124,-1.871594,0,-6.37287,-3.514567,0,-6.37287,-3.514567,0
"220",0.73,"m1",1,-0.486653,-0.873595,0,-3.32392,1.770479,0,-3.32392,1.770479,0
"221",0.73,"m2",0.5,0.345736,-1.492431,0,-6.846603,-3.157214,0,-3.4233015,-1.578607,0
"222",0.73,"m3",1,0.954831,-1.905516,0,-6.640929,-3.392194,0,-6.640929,-3.392194,0
"223",0.74,"m1",1,-0.518723,-0.854943,0,-3.206903,1.865243,0,-3.206903,1.865243,0
"224",0.74,"m2",0.5,0.274516,-1.522148,0,-7.121961,-2.971647,0,-3.5609805,-1.4858235,0
"225",0.74,"m3",1,0.885564,-1.93806,0,-6.926685,-3.254402,0,-6.926685,-3.254402,0
"226",0.75,"m1",1,-0.549585,-0.835438,0,-3.08628,1.950506,0,-3.08628,1.950506,0
"227",0.75,"m2",0.5,0.200535,-1.549687,0,-7.398176,-2.753895,0,-3.699088,-1.3769475,0
"228",0.75,"m3",1,0.813271,-1.969075,0,-7.229353,-3.101422,0,-7.229353,-3.101422,0
"229",0.76,"m1",1,-0.579213,-0.815176,0,-2.962815,2.026169,0,-2.962815,2.026169,0
"230",0.76,"m2",0.5,0.123818,-1.574713,0,-7.671701,-2.502664,0,-3.8358505,-1.251332,0
"231",0.76,"m3",1,0.737793,-1.998411,0,-7.547752,-2.933592,0,-7.547752,-2.933592,0
"232",0.77,"m1",1,-0.607586,-0.794254,0,-2.837256,2.092203,0,-2.837256,2.092203,0
"233",0.77,"m2",0.5,0.044431,-1.596884,0,-7.938668,-2.217083,0,-3.969334,-1.1085415,0
"234",0.77,"m3",1,0.65899,-2.025923,0,-7.880335,-2.751288,0,-7.880335,-2.751288,0
"235",0.78,"m1",1,-0.634689,-0.772767,0,-2.710327,2.148645,0,-2.710327,2.148645,0
"236",0.78,"m2",0.5,-0.037519,-1.615852,0,-8.194952,-1.89677,0,-4.097476,-0.948385,0
"237",0.78,"m3",1,0.576737,-2.051472,0,-8.225256,-2.554826,0,-8.225256,-2.554826,0
"238",0.79,"m1",1,-0.660517,-0.750812,0,-2.582724,2.195593,0,-2.582724,2.195593,0
"239",0.79,"m2",0.5,-0.121881,-1.631271,0,-8.436238,-1.541877,0,-4.218119,-0.7709385,0
