"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"60",0.29,"m2",1,1.911881,0,-0.42649,-1.106588,0,-2.838165,-1.106588,0,-2.838165
"61",0.3,"m1",1,0.899916,0,-0.436063,-1.209862,0,-2.590563,-1.209862,0,-2.590563
"62",0.3,"m2",1,1.899721,0,-0.455831,-1.216064,0,-2.9341,-1.216064,0,-2.9341
"63",0.31,"m1",1,0.886691,0,-0.462362,-1.322503,0,-2.629927,-1.322503,0,-2.629927
"64",0.31,"m2",1,1.886409,0,-0.486126,-1.331201,0,-3.029463,-1.331201,0,-3.029463
"65",0.32,"m1",1,0.872292,0,-0.488985,-1.43987,0,-2.662234,-1.43987,0,-2.662234
"66",0.32,"m2",1,1.87189,0,-0.517367,-1.451917,0,-3.124136,-1.451917,0,-3.124136
"67",0.33,"m1",1,0.856676,0,-0.515855,-1.561634,0,-2.687013,-1.561634,0,-2.687013
"68",0.33,"m2",1,1.856108,0,-0.549547,-1.578122,0,-3.217981,-1.578122,0,-3.217981
"69",0.34,"m1",1,0.839802,0,-0.542893,-1.687407,0,-2.703807,-1.687407,0,-2.703807
"70",0.34,"m2",1,1.839011,0,-0.582656,-1.709717,0,-3.310844,-1.709717,0,-3.310844
"71",0.35,"m1",1,0.821635,0,-0.570015,-1.816743,0,-2.712178,-1.816743,0,-2.712178
"72",0.35,"m2",1,1.820545,0,-0.616681,-1.846605,0,-3.402549,-1.846605,0,-3.402549
"73",0.36,"m1",1,0.802143,0,-0.597132,-1.949141,0,-2.711719,-1.949141,0,-2.711719
"74",0.36,"m2",1,1.800658,0,-0.65161,-1.988698,0,-3.492897,-1.988698,0,-3.492897
"75",0.37,"m1",1,0.781303,0,-0.624152,-2.084044,0,-2.70205,-2.084044,0,-2.70205
"76",0.37,"m2",1,1.779299,0,-0.687427,-2.135923,0,-3.581663,-2.135923,0,-3.581663
"77",0.38,"m1",1,0.759094,0,-0.650981,-2.220839,0,-2.682838,-2.220839,0,-2.682838
"78",0.38,"m2",1,1.756417,0,-0.724113,-2.288229,0,-3.668594,-2.288229,0,-3.668594
"79",0.39,"m1",1,0.735506,0,-0.677519,-2.358866,0,-2.653793,-2.358866,0,-2.653793
"80",0.39,"m2",1,1.731961,0,-0.761647,-2.445599,0,-3.753408,-2.445599,0,-3.753408
"81",0.4,"m1",1,0.710532,0,-0.703665,-2.497416,0,-2.614682,-2.497416,0,-2.614682
"82",0.4,"m2",1,1.70588,0,-0.800004,-2.608054,0,-3.835784,-2.608054,0,-3.835784
"83",0.41,"m1",1,0.684174,0,-0.729319,-2.635739,0,-2.565332,-2.635739,0,-2.565332
"84",0.41,"m2",1,1.678123,0,-0.839158,-2.775661,0,-3.915362,-2.775661,0,-3.915362
"85",0.42,"m1",1,0.656444,0,-0.754375,-2.773049,0,-2.505637,-2.773049,0,-2.505637
"86",0.42,"m2",1,1.648638,0,-0.879075,-2.948539,0,-3.991735,-2.948539,0,-3.991735
"87",0.43,"m1",1,0.627358,0,-0.778731,-2.908531,0,-2.435565,-2.908531,0,-2.435565
"88",0.43,"m2",1,1.617369,0,-0.91972,-3.126861,0,-4.064439,-3.126861,0,-4.064439
