"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"42",0.2,"m2",1,1.978964,0,-0.206002,-0.379078,0,-1.9617,-0.379078,0,-1.9617,1.995983510042,-2.02087962,-0.0248961099580001
"43",0.21,"m1",1,0.974593,0,-0.223985,-0.437369,0,-1.996293,-0.437369,0,-1.996293,2.088238692005,-2.19729285,-0.109054157995
"44",0.21,"m2",1,1.974589,0,-0.226599,-0.437514,0,-2.059647,-0.437514,0,-2.059647,2.2167821324025,-2.22293619,-0.0061540575975001
"45",0.22,"m1",1,0.969582,0,-0.244768,-0.501092,0,-2.078306,-0.501092,0,-2.078306,2.28522451105,-2.40117408,-0.11594956895
"46",0.22,"m2",1,1.969576,0,-0.248174,-0.501331,0,-2.15753,-0.501331,0,-2.15753,2.4531342362305,-2.43458694,0.0185472962304996
"47",0.23,"m1",1,0.963879,0,-0.26634,-0.570277,0,-2.157289,-0.570277,0,-2.157289,2.489555843125,-2.6127954,-0.123239556875001
"48",0.23,"m2",1,1.963869,0,-0.270727,-0.570659,0,-2.255326,-0.570659,0,-2.255326,2.7060735302785,-2.65583187,0.0502416602785005
"49",0.24,"m1",1,0.957429,0,-0.288669,-0.645007,0,-2.232857,-0.645007,0,-2.232857,2.700842206249,-2.83184289,-0.131000683751
"50",0.24,"m2",1,1.957413,0,-0.294257,-0.645606,0,-2.353007,-0.645606,0,-2.353007,2.9767245246425,-2.88666117,0.0900633546424996
"51",0.25,"m1",1,0.950176,0,-0.311715,-0.725333,0,-2.304605,-0.725333,0,-2.304605,2.918656083457,-3.05792415,-0.139268066543
"52",0.25,"m2",1,1.950151,0,-0.318763,-0.726255,0,-2.450539,-0.726255,0,-2.450539,3.266293857773,-3.12706503,0.139228827773
"53",0.26,"m1",1,0.942063,0,-0.335436,-0.811268,0,-2.372107,-0.811268,0,-2.372107,3.1425236936365,-3.29062716,-0.1481034663635
"54",0.26,"m2",1,1.942024,0,-0.344241,-0.812661,0,-2.547878,-0.812661,0,-2.547878,3.5760501019025,-3.37700421,0.199045891902499
"55",0.27,"m1",1,0.933035,0,-0.359785,-0.902783,0,-2.434918,-0.902783,0,-2.434918,3.3719214059065,-3.52949085,-0.1575694440935
"56",0.27,"m2",1,1.932976,0,-0.370691,-0.904854,0,-2.644972,-0.904854,0,-2.644972,3.90731882105,-3.63647871,0.27084011105
"57",0.28,"m1",1,0.923037,0,-0.384711,-0.999808,0,-2.492579,-0.999808,0,-2.492579,3.6062830540525,-3.77401491,-0.1677318559475
"58",0.28,"m2",1,1.922947,0,-0.398109,-1.002837,0,-2.74176,-1.002837,0,-2.74176,4.2614649730845,-3.90544929,0.3560156830845
"59",0.29,"m1",1,0.912015,0,-0.410157,-1.102224,0,-2.54462,-1.102224,0,-2.54462,3.844994345288,-4.02364017,-0.178645824712
"60",0.29,"m2",1,1.911881,0,-0.42649,-1.106588,0,-2.838165,-1.106588,0,-2.838165,4.6398587844845,-4.1838669,0.4559918844845
"61",0.3,"m1",1,0.899916,0,-0.436063,-1.209862,0,-2.590563,-1.209862,0,-2.590563,4.0873913580065,-4.27777803,-0.1903866719935
"62",0.3,"m2",1,1.899721,0,-0.455831,-1.216064,0,-2.9341,-1.216064,0,-2.9341,5.043877231048,-4.47170211,0.572175121048001
